UUID,Category,Device,OS,Location,Value,Status
64e3e407-7700-4d6a-8964-1991a0535f51,PC,Dell Optiplex 7060,Microsoft Windows 10 Pro,BR CC 209,0,active
0f3e9be6-4e72-4d96-a70b-0e80858b47c6,PC,Dell Optiplex 7060,Microsoft Windows 10 Pro,BR CC 209,0,active
7ecb22b2-ddc4-49fd-a1ad-8fdbb280526d,PC,Dell Optiplex 7060,Microsoft Windows 10 Pro,BR CC 209,0,active
3eda0e24-86f8-4141-b428-39a337b56b3a,PC,Dell Optiplex 7060,Microsoft Windows 10 Pro,BR CC 209,0,active
fc48078d-69b8-43e6-b704-986922f90d8c,PC,Dell Optiplex 7060,Microsoft Windows 10 Pro,BR CC 209,0,active
1d617f37-6285-4ec1-a2d7-56db70ddbb34,PC,Dell Optiplex 7060,Microsoft Windows 10 Pro,BR CC 209,0,active
21f9cb91-5c62-4416-baf1-4179be6db63d,PC,Dell Optiplex 7060,Microsoft Windows 10 Pro,BR CC 209,0,active
d4cc26e3-6a0d-4c4d-b2cc-52ffb7dbc84e,PC,Dell Optiplex 7060,Microsoft Windows 10 Pro,BR CC 209,0,active
677a6a5d-8127-433b-bc1f-b98eb1133308,PC,Dell Optiplex 7060,Microsoft Windows 10 Pro,BR CC 209,0,active
76370a32-3f62-4e54-953c-bb652d87a6aa,PC,Dell Optiplex 7060,Microsoft Windows 10 Pro,BR CC 209,0,inactive
0ebfd1bf-ad14-4046-8b40-3a737956ac91,PC,Dell Optiplex 7060,Microsoft Windows 10 Pro,BR CC 209,0,active
25e61079-e8b6-46cc-b9fd-f736b1d6d06a,PC,Dell Optiplex 7060,Microsoft Windows 10 Pro,BR CC 209,0,active
1eaf9b5b-0f07-484b-84cd-5fb3f2165027,PC,Dell Optiplex 7060,Microsoft Windows 10 Pro,BR CC 209,0,active
9ce676de-8a09-4fdd-b3c8-2a509d2c7e21,PC,Dell Optiplex 7060,Microsoft Windows 10 Pro,BR CC 209,0,active
27828792-c868-4d2b-a59d-e8886eea7d0a,PC,Dell Optiplex 7060,Microsoft Windows 10 Pro,BR CC 209,0,active
fa261239-6676-4b2c-81a1-c9a3a3f5de94,PC,Dell Optiplex 7060,Microsoft Windows 10 Pro,BR CC 209,0,active
e147f5aa-18b8-4bd4-a6c0-efea14fc5de9,PC,Dell Optiplex 7060,Microsoft Windows 10 Pro,BR CC 209,0,needs repair
05a7094c-2525-4640-b3bd-339fe5f0396f,PC,Dell Optiplex 7060,Microsoft Windows 10 Pro,BR CC 209,0,active
8b814401-fae4-4385-8beb-fad0bf950c72,PC,Dell Optiplex 7060,Microsoft Windows 10 Pro,BR CC 209,0,active
e831b2d0-d496-40b7-95f0-26fcbd3d2303,PC,Dell Optiplex 7060,Microsoft Windows 10 Pro,BR CC 209,0,active
94892f07-5100-45b5-b555-f86e2d511a0b,PC,Dell Optiplex 7060,Microsoft Windows 10 Pro,BR CC 209,0,active
